ジャンクフード	maldja (mabla-cidja)
常識	kaurselju'o (kampu-se-djuno)
各駅停車の列車、鈍行	rolstire'e (ro-sisti-trene)
ザラザラ	rufsfe (rufsu-sefta)
デコボコ	bonsfe (boxna-sefta)
運動不足	dorkytcu (dorke-nitcu)
トイレットペーパー	vimku'aple (vikmi-kumfa-pelji)
売春	gleve'u (gletu-vecnu)
コンビニ	filzai (frili-zarci)
煮詰める 	campla (carmi-platu)
すきま風	luzbi'e (kluza-brife)
歯並び	denpoi (denci-porsi)
サボる	rivycri (rivbi-cirko)
カンニング	mipyzgaspu (mipri-zgana-spuda)
道草を食う	zonvitke (zo'a-vitke)
首がすわる 	sedysrabi'o (stedu-sarji-binxo)
鳥肌	cikskapi (cikna-skapi)
靴ずれ	cucyxai (cutci-xrani)
ままごとをする	lazyzukykei (lanzu-zukte-kelci)
かっこいい	nakmle (nakni-melbi)
かわいい	dibmle (dirba-melbi)
うつくしい	melbi
きれい	nicmle (cnici-melbi)
おしゃれ	jadmle (jadni-melbi)
奏でる	zgiri'a (zgike-rinka)
桜	akra [jpn: sakura], pru'unu [lat: prunus]
鯨	etke'a [lat: cetacea]
帰る	xrukla (xruti-klama)
アニメ	kinlisxra (skina-lisri-pixra), anme [jpn: anime]
漫画	lisxra (lisri-pixra), anga [jpn: manga]
４コマ漫画	vonreklisxra (vo-greku-lisri-pixra), ionkoma [jpn: yonkoma]
絵本	xracku (pixra-cukta)
紙芝居	pledraci (pelji-draci)
オーディオドラマ	snadraci (sance-draci)
ドラマ	tivdraci (tivni-draci)
映画	kindraci (skina-draci)
特撮	tickindraci (tcica-skina-draci)
小説	lerlisri (lerfu-lisri)
点字	mocle'u (mokca-lerfu)
表音文字	snale'u (sance-lerfu)
表意文字	smule'u (smuni-lerfu)
表語文字	vlale'u (valsi-lerfu)
音素文字	snaslele'u (sance-selci-lerfu)
音節文字	slakyle'u (slaka-lerfu)
アブギダ	abgida, zunsnacmule'u (zunti-sance-jicmu-lerfu)
アブジャド	abjadi, voksnacaule'u (voksa-sance-claxu-lerfu)
母音	voksna (voksa-sance)
子音	zunsna (zunti-sance)
文字体系	lerci'e (lerfu-ciste)
フィーチュラルスクリプト（計画文字？）	selplale'u (se-platu-lerfu)
アルファベット	alfabeta
漢字	anji
ハングル	xangulu
ひらがな	xirgana
カタカナ	katkana
強勢アクセント	laurselbasna (cladu-se-basna)
高低アクセント	togyselbasna (tonga-se-basna)
声調	valtogmo'a (valsi-tonga-morna)
イントネーション	juftogmo'a (jufra-tonga-morna)
尊い	selsi'a (se-sinma)
思いやり	ka pesku'i (ka-pensi-kurji)
竹	bambu [exp. gismu], ba'ambu [fu'ivla]
駱駝	(kumt-r-)kamlsu [lat: Camelus]
アルパカ	(kumt-r-x-)alpaka, tcokumte (ketco-kumte)
ハシビロコウ	(cpi-r-)balnkpi [lat: Balaeniceps]
ウーパールーパー	(banf-r-x-)axlte [spa: ajolote]
エリマキトカゲ	plonebrespa (polje-cnebo-respa)
哲学	pijyske (prije-saske)
美術	vislarske (viska-larcu-saske)
芸術	larske (larcu-saske)
ひょうきん	xamxalbo (xajmi-xalbo)
火花	fagyspi (fagri-spisa)
腰	befcidni (betfu cidni)
丹田	tantna [zho: dantian, jpn: tanden]
鳩尾	befmebri (betfu mebri)
ワサビ	uazbi
南京錠	krostela (korcu-stela)
迷子	lo lutcri (pluta-cirko)
彷徨う	kaskla (kalsa-klama)
じゃんけん	djankne [jpn: djanken], rokplejincykei (rokci-pelji-jinci-kelci)
決め台詞	tecyselcu'u (steci-se-cusku, 或る者や状況に特有の台詞), mulselcu'u (mulno-se-cusku, 物事の完成を象徴する台詞)
政権	trubai (turni-bapli)
政権交代	trubainuncne (turni-bapli-nu-cenba)
苗字	lazme'e (lanzu-cmene)
眼鏡	lacni, kaldadle'o (kanla-dandu-lenjo)
コンタクトレンズ	niplacni (snipa-lacni), kalniple'o (kanla-snipa-lenjo)
ゲシュタルト崩壊	nu mentai porpi / nu gectlta porpi
過労死	dusygunmro (dukse-gunka-morsi)
化合物	xumxre (xukmi-mixre)
酸化物	kijyxre (kijno-mixre), kijyxumxre (kijno-xukmi-mixre)
酵素	menza, enzima
酸化酵素	kijymenza (kijno-menza), kijrxenzima (kij-enzima)
活性酸素	frakijno
酵素の不活化	nu co'u frakijno
お爺さん	[lo] io laldynau (laldo-nanmu)
お婆さん	[lo] io laldyni'u (laldo-ninmu)
泥棒	zerle'a (zekri-lebna)
紫外線	zirbacygu'i (zirpu-bacru-gusni), zirbargu'i (zirpu-bartu-gusni)
赤外線	xunbacygu'i (zirpu-bacru-gusni), xunbargu'i (xunre-bartu-gusni)
アース（電気的接地）	nundictumjo'e (nu-dikca-tumla-jorne)
どら焼き	dra,iaki
クレープ（食品）	kre'epe
発電所	dicprastu (dikca-cupra-stuzi)
ロボット	zukmi'i (zukte-minji)
人工知能	runji'i (rutni-jinvi)
風鈴	bifyjanbe (brife-janbe)
台風	taifnu
面倒くさい	mukcau (mukti-claxu) = 動機が感じられない, lujra'u (pluja-raktu) = 複雑で煩わしい, rucydu'e (pruce-dukse) = 手間が多過ぎる
交番	puljyginka (pulji-ginka)
駐車する	ma'ersrogau (marce-sorcu-gasnu)
カレー（料理）	djarkari (cidja-kari)
ラーメン	djanrame (cidja-rame)
縦書き	rajyci'a (sraji-ciska)
横書き	pinci'a (pinta-ciska)
回文	fatmityju'a (fatne-mintu-jufra)
ソプラノ	spro'ano (soprano)
アルト	alto (alto)
テノール／テナー	te'onre (tenore)
バス（音楽）	vokrbasa (bass)
バス（交通）	basfa, sorprekarce (so'i-prenu-karce)
路線バス	dikybasfa (dikni-basfa)
観光バス	vinbasfa (jvinu-basfa)
送迎バス	cmibasfa (cmima-basfa)
バス（情報）	datnylu'a (datni-pluta)
モノレール（交通）	pavgaryre'e (pa-garna-trene)
索道／ロープウェイ／リフト	skoma'e (skori-marce)
鋼索鉄道／ケーブルカー	sa'oskoma'e (salpo-skori-marce), ma'askoma'e (cmana-skori-marce)
コンデンサ（電気）	dicpruni (dikca-pruni)
ダイオード	dicfartci (dikca-farna-tutci)
半導体	xabyseldikca (xadba-se-dikca)
アンテナ	bonbe'itci (boxna-benji-tutci), [dicmakybon+]di'etci (dikca-makfa-boxna-dirce-tutci), antena
CPU	cmudiclu'a (jicmu-dikca-pluta)
眼鏡	↑
サングラス	solylacni (solri-lacni)
ゴーグル	badlacni (bandu-lacni)
補聴器	tinydjutci (tirna-sidju-tutci)
魔方陣	simsujykurfa (simxu-sumji-kurfa)
ボランティア	nemcaugu'a (cnemu-claxu-gunka)
筋トレ	zumsluzenri'a (zu'o-sluji-zenba-rinka)
自慰	sezgle (sevzi-gletu)
暴走族	vilbajbe'e (vlile-bajra-bende)
ニート	jibycauxalbo (jibri-claxu-xalbo)
カルト団体	capyjda (ckape-lijda)
飛び降り自殺	falsezycatra (farlu-sevzi-catra)
恩師	si'actu (sinma-ctuca)
たしなむ	neifri (nelci-lifri)
靴下	jmasmo (jamfu-smoka)
ドロワーズ	dro'ozo
タンクトップ	bircaucreka (birka-claxu-creka)
社会人	(lo) jikca
シンガーソングライター	zgifinsa'a (zgike-finti-sanga)
下痢	likykalci (litki-kalci)
水ぶくれ	kaplikpunli (skapi-litki-punli)
ねんざ	toncidyxai (torni-cidni-xrani)
屁（をひる）	gacyvi'i (gapci-vikmi)
ホームセンター	zdatcizai (zdani-tutci-zarci)
コンビニエンスストア	↑
スーパー（量販店）	balzai (banli-zarci)
口笛	molflani (moklu-flani)
ショック死	jenmro (jenca-morsi)
即興の曲	nutyzgi (snuti-zgike)
バックグラウンドミュージック	vabzgi (vanbi-zgike)
陶器	taktci (staku-tutci)
磁器	tsataktci (tsali-staku-tutci)
漆器	urcitci
土器	dertci (dertu-tutci)
脳内麻薬	benrarxu'i (besna-rarna-xukmi)
ダイエット	trocti (jitro-citka)
眠気	sipkai (sipna-ckaji)
合唱	gumsa'a (gunma-sanga)
独唱	sepsa'a (sepli-sanga)
アカペラ	kancausa'a (kansa-claxu-sanga)
緑茶	ri'otcati (crino-tcati)
妖怪・ばけもの	cizru'i (cizra-pruxi)
忍者	ni'inja
超音波発信機	bacysna di'etci (bancu-sance dirce-tutci)
早寝	lirsipna (clira-sipna)
早起き	lircikna (clira-cikna)
朝寝坊	lecycikna (lerci-cikna)
夜更かし	lecysipna (lerci-sipna)
地割れ	tumferbi'o (tumla-fenra-binxo)
洪水	tumjirbi'o (tumla-jinru-binxo)
治水	jautru (djacu-turni)
見栄え	mlukai (simlu-ckaji)
改宗	jdacne (lijda-cenba)
植木鉢	spapatcu (spati-patxu)
受け皿	zbepalta (zbepi-palta)
雨漏り	sicpygre (sicpi-pagre)
電卓	dickajytci (dikca-kanji-tutci)
モラトリアム	flade'a (flalu-denpa)
心労	pesta'i (pensi-tatpi)
健康食品	ka'odja (kanro-cidja)
武術・拳法・武芸	dablarcu (damba-larcu)
任侠	muldjukai (mulno-sidju-ckaji)
ストレッチ	xadytcena (xadni-tcena)
にきび	akne, kapraspunli (skapi-grasu-punli)
関節を鳴らす	cidysnagau (cidni-sance-gasnu)
「お」弁当	io kandja (kansa-cidja)
植民地支配	fangyjitro (fange-jitro)
出家	laznyli'a (lazni-cliva)
還俗	fadnyxru (fadni-xruti)
拷問	crobai (cortu-bapli), crobaicpe (cortu-bapli-cpedu)
風邪薬	kaurbi'a velmikce (kampu-bilma) (ve-mikce)
民間療法	cacyvelmikce (tcaci-ve-mikce)
目覚まし時計	cikri'ajunla (cikna-rinka-junla)
専門書	crecku (certu-cukta), te'icku (steci-cukta)
みみかき	keryraktci (kerlo-sraku-tutci)
単語帳	vlanoicku (valsi-notci-cukta)
手帳	cmanoicku (cmalu-notci-cukta)
ルーズリーフ	zifpapri (zifre-papri)
筆入れ・筆箱	pisyvau (pinsi-vasru), pebyvau (penbi-vasru), velci'avau (ve-ciska-vasru)
黒板消し	bakryta'o victci (bakri-tanbo vimcu-tutci)
カリスマ	bacfadypre (bancu-fadni-prenu), balpre (banli-prenu)
日焼け	solkapyga'i (solri-skapi-galfi)
ひよっこ・もやしっこ	solmecpre (solri-mleca-prenu)
街道	jondargu (jorne-dargu)
歩道	klaji, dzudargu (cadzu-dargu)
車道	ma'erdargu (marce-dargu)
電柱	dickamju (dikca-kamju)
街灯	lajytergu'i (klaji-te-gusni), gubytergu'i (gubni-te-gusni)
街角	lajyko'a (klaji-kojna)
街頭	lajyjbi (klaji-jbini)
世間・巷・市井	gubytcini (gubni-tcini), gubycimde (gubni-cimde)
異世界	datmu'e (drata-munje), ficmu'e (frica-munje)
ぼんくら・役立たず	nalse'u (na'e-selfu)
自己暗示	se'itri (sevzi-trina)
ベストセラー	selvenrai (se-vecnu-traji)
洗脳	peitro (pensi-jitro)
速読	sutytcidu (sutra-tcidu)
ティッシュ	tsaranple (tsali-ranti-pelji)
雑巾	rakybu'u (sraku-bukpu)
布巾	paltybu'u (palta-bukpu)
手ぬぐい	te'ungui [手ぬぐいは日本のもの]
タオル	ckobu'u (cokcu-bukpu)
自暴自棄	sezyspocri (sevzi-daspo-cirko)
食っちゃ寝	ctice'osipna (citka-ce'o-sipna)
自慢	sezyzansku (sevzi-zabna-cusku), jgisku (jgira-cusku)
独創的	mitcaufi'i (mintu-claxu-finti)
現実	fatci, cazyfau (ca'a-fasnu)
想像	xanri, xarsi'o (xanri-sidbo), xarpei (xanri-pensi)
幻想	jifxanri (jitfa-xanri), jifsi'o (jitfa-sidbo), jifpei (jitfa-pensi)
妄想	jifxanri, bi'arxanri (bilma-xanri)
情操教育	nuncnictu (nu-cinmo-ctuca)
スパルタ教育	crobai nunctu (cortu-bapli nu-ctuca)
ゆとり教育	bapme'a nunctu (bapli-mleca nu-ctuca)
青空教室	dijycau nunctu (dinju-claxu nu-ctuca)
宴会	ctitersla (ctika-te-salci)
民謡	cedzgi (cerda-zgike)
童話	verlisri (verba-lisri)
わらべ歌	vercedzgi (verba-cerda-zgike)
子守唄	verku'izgi (verba-kurji-zgike)
ナルシスト	sezypa'i (sevzi-prami)
泣き崩れる	kakpo'u (klaku-spofu)
垢・ふけ	kapfesti (skapi-festi), livyskapi (cliva-skapi)
うっとおしい・うざい	toltri (to'e-trina)
熱血	zukcai (zukte-carmi)
先見の明	kanpyka'e (kanpe-kakne)
後援会	zukydjugri (zukte-sidju-girzu)
講演会	tavytigytersla (tavla-tigni-te-salci)
民俗	cedyklu (cerda-kulnu), cedytcaci (cerda-tcaci)
民芸	cedlarcu (cerda-larcu)
走馬灯／回り灯篭	carti'otergu'i (carna-ctino-te-gusni)
迷信	srekri (srera-krici)
発明王	balfi'i (banli-finti)
鰹節	tsobuci / tsuobuci / djarkatsuobuci
昆布	ko'onbu / djarkonbu
納豆	djarnato / furso'e (fusra-sobde)
豆腐	djartofu / fursobladru (fusra-sobde-ladru)
インスタント／即席（食品）	bredja (bredi-cidja)
ココア（飲料）	glacakla (glare-cakla)
チョコレート（固形）	ligycakla (sligu-cakla)
カカオマス	caklyjikru (cakla-jikru)
ココアバター	caklymatne (cakla-matne)
ココアパウダー	caklypu'o (cakla-purmo)
ハクチョウ	cignusu (lat: cygnus)
香料	tsapi
甘味料	titytsapi (titla-tsapi)
酸味料	sartsapi (slari-tsapi)
乳化剤	runtyxu'i (runta-xukmi)
矢印	cfinysni (cfine-sinxa)
塀	fleku'o (flecu-skuro), lutku'o (pluta-skuro) ; badyku'o (bandu-skuro) [濠]
つづら	tsudura
金属探知機	jimsistci (jinme-sisku-tutci)
普段着	fadyta'u (fadni-taxfu)
帆布	fanbo'o (falnu-boxfo), fanbu'u (falnu-bukpu)
甲羅	galcalku (galtu-calku)
竜／龍	resycei (respa-cevni), resycrida (respa-crida) [全般] ; (resr)lo'ongo [中国龍] ; (resr)dra'ago [西洋竜／ドラゴン]
鳳凰	cpicei (cipni-cevni), cpicrida (cipni-crida) [全般] ; (cipr)fe'enxua [鳳凰] ; (cipr)fenksi [フェニックス]
十二支	catrdiji (地支｜dìzhī)
子年	ratcydetri
丑年	baknydetri
寅年	tirxydetri
卯年	ractydetri
辰年	cridydetri
巳年	sincydetri
午年	xirmydetri
未年	tiljydetri
申年	smanydetri
酉年	jipcydetri
戌年	gerkydetri
亥年	xarjydetri
白ける／興ざめする	gekco'u (gleki-co'u), fligei (fliba-gleki)
相転移	termainuncne (te-marji-nu-cenba)
過冷却	stabaclenku (stali-bancu-lenku)
挫傷／打撲傷	http://jbovlaste.lojban.org/dict/cagna
擦り傷／擦過傷	gukcagna (guska-cagna)
切り傷	ka'arcagna (katna-cagna)
刺し傷	tuncagna (tunta-cagna)
絵描き歌	pirzgi (pixra-zgike)
墨（固形）	damsligu (danmo-sligu)
墨汁	damlitki (danmo-litki)
鯉	kiprinus [lat:cyprinus], fiprkoi (finpe-koi)
鯉のぼり	kiprinus tubnu
三途の川	mrokoiri'e (morsi-korbi-rirxe), ri'ersanzu (rirxe-sanzu)
原油	cuvyctile (curve-ctile)
環境破壊	ci'espo (ciste-daspo)
公害	gubyxai (gubni-xrani)
煩悩	ra'ursi'o (raktu-sidbo)
鬼	onin, ridrxoni (crida-oni), pacycrida (palci-crida)
くいまらん
（あることをしなければならないのは分かっているが、
それに優先することが多かったり、
その気になれなかったりで、手をつけずにいる）	zukri'u (zukte-rinju)
いずい（かゆくまではないが気になる感じ）	kapfanza (skapi-fanza)
せからしい	nalsurla (na'e-surla)
しばれる	lekcai (lenku-carmi)
ぬくい（安心する暖かさ）	surxe'o (surla-xendo), surxlu (surla-xlura)
めんこい（純真な物に対しての「かわいい」）	cuvmle (curve-melbi), cuvdirba (curve-dirba)
異性体 (isomer)	fictursle (frica-stura-selci)
名刺	
駄洒落	
ブログ	
ひとりごと	
花火	
蝉	
すずめ	
文字化け	
甘え	