a	cmavo			   	A      	logji jonma'o .i te jorne le li'erla'i sumti le se li'erla'i sumti ja'e lo vlina	{logji} {jonma'o}; {sumti} {vlina}
a'a	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri se jundi le cusku	{jundi}
a'acu'i	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se nalju'i	{a'a} {cu'i}, {nalju'i}
a'anai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se tolju'i	{a'a} {nai}; {tolju'i}
abu	bu-letteral			   	BY*      	pamoi lerfu le lojbo	{lerfu}
a'e	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri se sanji le cusku	{sanji}
a'enai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se tatpi	{a'e} {nai}; {tatpi}
ai	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri te zukte fi le cusku	{zukte}
a'i	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri se camtoi le cusku	{camtoi}
a'icu'i	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se na'e camtoi le cusku	{a'i} {cu'i}; {na'e} {camtoi}
aicu'i	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se nonjdi le cusku	{ai} {cu'i}; {nonjdi}
ainai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri te xarnu fi le cusku	{ai} {nai}; {xarnu}
a'inai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se surla le cusku	{a'i} {nai}; {surla}
a'o	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri se pacna le cusku	{pacna}
a'oi	experimental cmavo			   	COI      	tcita lo cmene ja ve skicu le du'u sinxa le du'u makau te cusku .e le du'u blozeile'a milxe rinsa le te cusku	ko viska zo {xai} .e zo {coi} .e zo {co'oi} .e zo {o'ai} .i zo {a'oi} cu {u'ivla} gi'e {fu'ivla} fo zoi gy. ahoy .gy lo glibau
a'onai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se tolpa'a le cusku	{a'o} {nai}; {tolpa'a}
au	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri se djica le cusku	{djica}
a'u	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri cinri le cusku	{cinri}
a'ucu'i	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri nalci'i	{a'u} {cu'i}; {nalci'i}
aucu'i	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se naldji le cusku	{au} {cu'i}; {naldji}
aunai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se toldji le cusku	{au} {nai}; {toldji}
a'unai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri rigni le cusku	{a'u} {nai}; {rigni}
au'u	experimental cmavo			   	UI1      	cnima'o .i citmle u'unai     .i kansa zo nai poi na'e citmle u'unaicu'i     .i kansa zo cu'i poi to'e citmle u'u
a'y	experimental cmavo			   	BY      	pa moi lo lerfu be lo lojbo se lerfu	dunli me'o .abu lo ka sinxa ma kau
ba	cmavo			   	PU      	fi'o se balvi
ba'a	cmavo			   	UI2      	tcita le se cusku le du'u la'e ri se bavykri	{bavykri}
ba'acu'i	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se lifri	{ba'a} {cu'i}; {lifri}
ba'anai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se morji	{ba'a} {nai}; {morji}
ba'au	experimental cmavo			   	CUhE      	nau ba	sinxa lo du'u lo nundumu be lo bridi poi vasru zo ba'au cu balvi lo nu zo ba'au se cusku
ba'e	cmavo			   	BAhE      	basna le pa valsi poi vo'a li'erla'i ke'a	{basna}
bai	cmavo			   	BAI      	fi'o bapli
ba'i	cmavo			   	BAI      	fi'o basti	{basti}
ba'o	cmavo			   	ZAhO      	fi'o mulcabna	{mulcabna}
bau	cmavo			   	BAI      	fi'o bangu
ba'u	cmavo			   	UI3      	tcita le se cusku le du'u la'e ri dukse	{dukse}
ba'ucu'i	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri satci	{ba'u} {cu'i}; {satci}
ba'unai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri toldu'e	{ba'u} {nai}; {toldu'e}
be	cmavo			   	BE      	te jorne lo sumti lo selbrisle ja'e lo cnino selbrisle	{bei}, {be'o}
be'a	cmavo			   	FAhA1      	fi'o se berti	{berti}
be'au	experimental cmavo			   	BAI      	fi'o se banzu	{fi'o} {banzu}
be'e	cmavo			   	COI      	tcita lo cmene ja ve skicu le du'u sinxa le du'u makau te cusku .e le du'u le cusku cu cpedu lo'e nu ri benji kei le te cusku	{doi}; {benji} {cpedu} 
bei	cmavo			   	BEI      	te jorne lo su'oremoi sumti lo selbrisle ja'e lo cnino selbrisle	{be}, {be'o}
be'i	cmavo			   	BAI      	fi'o benji	{benji}
be'o	cmavo			   	BEhO      	fa'orma'o zo be	{fa'orma'o}; {be}; {bei}
be'oi	experimental cmavo			   	BEhOI      	lu fi'o broda fe'u be'oi ko'a li'u du lu fi'o broda be ko'a fe'u li'u	zo be cu krasi .i plixau lo nu tengau lo smuni be lo valsi pe mu'a ma'oi BAI
be'u	cmavo			   	UI5      	tcita le se cusku le du'u la'e ri se claxu je se nitcu	{claxu}; {nitcu}
be'ucu'i	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri mansa	{be'u} {cu'i}; {mansa}
be'unai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se dusfri	{be'u} {nai}; {dusfri}
bi	cmavo   	-biv-		   	PA1      	namcu .i sumji li ze li pa .i se li'erla'i li ze lei kancu namcu
bi'ai	experimental cmavo			   	CAhA      	sumtcita lo ka ce'u ce'u se narfaunarcu'i
bi'aiku	cmavo-compound			      		naku ka'eku naku
bi'e	cmavo			   	BIhE      	tcita le se li'erla'i ke mekso fancu cmavo le du'u sinxa le du'u ri kanji pamoi 
bi'i	cmavo   	-biz-		   	BIhI      	nalylogji jonma'o .i te jorne le li'erla'i le se li'erla'i ja'e lo tersei	{tersei}, {ga'o}, {ke'i}
bi'o	cmavo			   	BIhI      	nalylogji jonma'o .i te jorne le li'erla'i le se li'erla'i ja'e lo porsi tersei	{porsi} {tersei}, {ga'o}, {ke'i}
bi'u	cmavo			   	UI3a      	tcita le se cusku le du'u la'e ri cnino datni	{cnino} {datni}
bi'unai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri slabu datni	{bi'u} {nai}; {slabu} {datni}
bo	cmavo   	-bor-		   	BO      	tordu kuspe te jorne le li'erla'i le se li'erla'i	{tordu} {kuspe} {jorne}
boi	cmavo			   	BOI      	fa'orma'o zo pa .e zo by	{fa'orma'o}; {pa}; {by}
bu	cmavo   	-bus-   	-bu'i-	   	BU      	galfi le pa li'erla'i valsi lo lerfu	{lerfu} {galfi}
bu'a	cmavo   	-bul-		   	GOhA      	pamoi ke logji lairka'e brivla
bu'ai	experimental cmavo			   	NU      	galfi lu'e lo bridi lo logji lairka'e selbrisle	.i mu'a lu su'o bu'ai xe'u kei su'o bu'a ro da zo'u bu'ai da bu'a li'u .i ko sitna zo {su'u} .e zo {bu'a} .e zo {xe'u}
bu'e	cmavo			   	GOhA      	remoi ke logji lairka'e brivla
bu'i	cmavo			   	GOhA      	cimoi ke logji lairka'e brivla
bu'o	cmavo			   	UI7      	tcita le se cusku le du'u la'e ri pu'o se cinmo 	{pu'o} {cinmo}
bu'ocu'i	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri ca'o se cinmo	{bu'o} {cu'i}; {ca'o} {cinmo}
bu'onai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri ba'o se cinmo	{bu'o} {nai}; {ba'o} {cinmo}
bu'u	cmavo			   	FAhA3      	fi'o se zvati	{zvati}
by	cmavo			   	BY2      	remoi lerfu le lojbo	{lerfu}
ca	cmavo			   	PU      	fi'o se cabna
ca'a	cmavo   	-caz-		   	CAhA      	fi'o jai fatci	{fatci}
ca'e	cmavo			   	UI2      	tcita le se cusku le du'u la'e ri jetnu seja'e le nu ri se cusku
cai	cmavo			   	CAI      	tcita le se cusku le du'u la'e ri carmi le ka se cinmo le cusku	{cinmo} {carmi}
ca'i	cmavo			   	BAI      	fi'o catni	{catni}
canlu bu	bu-letteral			      		lu canlu bu li'u bu'ivla zoi gy. .gy.
ca'o	cmavo			   	ZAhO      	fi'o faurmidju	{faurmidju}
cau	cmavo			   	BAI      	fi'o claxu
ca'u	cmavo			   	FAhA2      	fi'o se crane	{crane}
ce	cmavo   	-cec-		   	JOI      	nalylogji jonma'o .i te jorne le li'erla'i le se li'erla'i ja'e lo selcmi	{nalylogji} {jonma'o}; {selcmi}
ce'a	cmavo			   	LAU      	tcita le se li'erla'i lerfu le du'u ri sinxa le du'u le mokau lertai co'a se pilno	{lerfu}; {lertai} {sinxa}
ce'e	cmavo			   	CEhE      	te jorne le li'erla'i sumti le se li'erla'i sumti ja'e lo sumpoi	{sumpoi}
cei	cmavo			   	CEI      	snigau lo brika'i	{brika'i} {snigau}; {broda}, {brode}, {brodi}, {brodo}, {brodu}
ce'i	cmavo   	-cez-		   	PA3      	namcu .i tcita le li'erla'i namcu le du'u sinxa lo centi be le namcu	{namcu}; {centi}; {cenlai}
ce'o	cmavo   	-ce'o-		   	JOI      	nalylogji jonma'o .i te jorne le li'erla'i le se li'erla'i ja'e lo porsi	{nalylogji} {jonma'o}; {porsi}
ce'u	cmavo			   	KOhA      	sumka'i le ckaji	{sumka'i}; {ckaji}; {ka}
ci	cmavo   	-cib-		   	PA      	namcu .i sumji li re li pa .i se li'erla'i li re lei kancu namcu
ci'e	cmavo			   	BAI      	fi'o ciste	{ciste}
ci'i	cmavo			   	PA5      	namcu .i se zilkancu lo cimni	{namcu}; {cimni} {zilkancu}
ci'o	cmavo			   	BAI      	fi'o cinmo	{cinmo}
ci'u	cmavo			   	BAI      	fi'o ckilu	{ckilu}
co	cmavo   	-col-		   	CO      	tanru fatygau .i simbasygau le seltau le tertau	{tanru} {fatygau}
co'a	cmavo   	-co'a-		   	ZAhO      	fi'o krasi	{krasi}; {cfari}
co'e	cmavo   	-com-   	-co'e-	   	GOhA      	brika'i lo no'e se snigau .a lo klina se jimpe	{brika'i}
co'ei	experimental cmavo			   	COhEI      	lu fi'o broda fe'u co'ei brode li'u du lu fi'o brode broda fe'u li'u	zo co cu krasi .i plixau lo nu tengau lo smuni be lo valsi pe mu'a ma'oi BAI
coi	cmavo			   	COI      	tcita lo cmene ja ve skicu le du'u sinxa le du'u makau te cusku .e le du'u rinsa le te cusku	{doi}, {rinsa}
co'i	cmavo			   	ZAhO      	fi'o se mokca	{mokca}
co'o	cmavo			   	COI      	tcita lo cmene ja ve skicu le du'u sinxa le du'u makau te cusku .e le du'u tolrinsa le te cusku	{doi}, {tolrinsa}
co'u	cmavo   	-co'u-		   	ZAhO      	fi'o fanmo	{fanmo}; {tolcfa}
cu	cmavo			   	CU      	te sepli le selbri lei lidne sumti
cu'a	cmavo			   	VUhU      	mekfancu .i li cu'a abu du le nacnilbra be abu	{mekfancu}; {nacnilbra}
cu'e	cmavo			   	CUhE      	fi'o mo	{fi'o} {mo}
cu'i	cmavo			   	CAI      	tcita le se cusku le du'u la'e ri nutli le ka se cinmo le cusku	{cinmo} {nutli}
cu'o	cmavo			   	MOI      	galfi lu'e lo namcu lo selbrisle .i x_1 zilpa'a le namcu va'o x_2 .i x_1 la'erlai le namcu x_2	{zilpa'a}, {la'erlai}
cu'u	cmavo			   	BAI      	fi'o cusku
cy	cmavo			   	BY2      	cimoi lerfu le lojbo	{lerfu}
da	cmavo   	-dav-   	-dza-	   	KOhA1      	sumka'i .i pamoi ke logji lairka'e snicne	{sumka'i}; {logji} {lairka'e} {snicne}; {de}, {di}
da'a	cmavo   	-daz-		   	PA      	namcu .i rolselsumji li pa .a le se li'erla'i namcu	{namcu}; {rolselsumji}
da'e	cmavo			   	KOhA2      	sumka'i lo zu se cusku poi se lidne le nau se cusku	{zu} {selyli'e} {selsku} {sumka'i}
dai	cmavo			   	UI5      	tcita le se cusku le du'u le cusku cu cnikansa  	{cnikansa}
da'i	cmavo			   	UI3      	tcita le se cusku le du'u la'e ri xanri	{xanri}
da'inai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri fatci	{da'i} {nai}; {fatci}
da'o	cmavo			   	DAhO      	tolsnigau le sumka'i	{sumka'i} {tolsnigau}
dau	cmavo			   	PA2      	saclu li pano li paxa
da'u	cmavo			   	KOhA2      	sumka'i lo zu se cusku poi lidne le nau se cusku	{zu} {lidne} {selsku} {sumka'i}
de	cmavo			   	KOhA1      	sumka'i .i remoi ke logji lairka'e snicne	{sumka'i}; {logji} {lairka'e} {snicne}; {da}, {di}
de'a	cmavo			   	ZAhO      	fi'o dicra	{dicra}; {denpa}
de'e	cmavo			   	KOhA2      	sumka'i lo za se cusku poi se lidne le nau se cusku	{za} {selyli'e} {selsku} {sumka'i}
de'ei	experimental cmavo			   	ROI      	fi'o se datru li mo'e lo se datru be dei su'i PA	{datru}
dei	cmavo			   	KOhA2      	sumka'i le nau se cusku	{nau} {selsku} {sumka'i}
de'i	cmavo			   	BAI      	fi'o detri	{detri}
de'i'a	experimental cmavo			   	BAI      	fi'o na'arctodetri	.i srana zo {na'arctodetri} .e zo {de'i} .e zo {de'i'e} .e zo {de'i'i} .e zo {de'i'o} .e zo {de'i'u}
dei'a	experimental cmavo			   	TAhE      	zo dei'a sumtcita gi'e cmavo ma'oi ta'e .i ca'e lo du'u «dei'a ko'a broda» cu du'u «zi'o jdika lo ni broda kei ko'a» kei gi'e va'i du'u «lo ni broda cu zildika ko'a»	srana fa zo {jdika} joi zo {zei'a} joi zo {zildika}
de'i'e	experimental cmavo			   	BAI      	fi'o na'ardetri	.i srana zo {na'ardetri} .e zo {de'i} .e zo {de'i'a} .e zo {de'i'i} .e zo {de'i'o} .e zo {de'i'u}
dei'ei	experimental cmavo			      		sumka'i piro le se cusku ja se uencu pe sepa'u dei
de'i'i	experimental cmavo			   	BAI      	fi'o ma'irdetri	.i srana zo {ma'irdetri} .e zo {de'i} .e zo {de'i'a} .e zo {de'i'e} .e zo {de'i'o} .e zo {de'i'u}
de'i'o	experimental cmavo			   	BAI      	fi'o ma'irdeidetri	.i srana zo {ma'irdeidetri} .e zo {de'i} .e zo {de'i'a} .e zo {de'i'e} .e zo {de'i'i} .e zo {de'i'u}
de'i'u	experimental cmavo			   	BAI      	fi'o jefydeidetri	.i srana zo {jefydeidetri} .e zo {de'i} .e zo {de'i'a} .e zo {de'i'e} .e zo {de'i'i} .e zo {de'i'o}
denpa bu	bu-letteral			   	BY*      	lu denpa bu li'u bu'ivla zoi ly...ly.
de'o	cmavo			   	VUhU3      	mekfancu .i li abu de'o by du le dugri be abu bei by	{mekfancu}; {dugri}
de'u	cmavo			   	KOhA2      	sumka'i lo za se cusku poi lidne le nau se cusku	{za} {lidne} {selsku} {sumka'i}
di	cmavo			   	KOhA1      	sumka'i .i cimoi ke logji lairka'e snicne	{sumka'i}; {logji} {lairka'e} {snicne}; {da}, {de}
di'a	cmavo			   	ZAhO      	fi'o toldicra	{toldicra}
di'e	cmavo			   	KOhA2      	sumka'i lo zi se cusku poi se lidne le nau se cusku	{zi} {selyli'e} {selsku} {sumka'i}
di'i	cmavo			   	TAhE      	fi'o dikni se kuspe	{dikni} {kuspe}
di'o	cmavo			   	BAI      	fi'o diklo	{diklo}
di'u	cmavo			   	KOhA2      	sumka'i lo zi se cusku poi lidne le nau se cusku	{zi} {lidne} {selsku} {sumka'i}
do	cmavo   	-don-   	-doi-	   	KOhA3      	sumka'i le tersku 	{sumka'i}; {tersku}
do'a	cmavo			   	UI3      	tcita le se cusku le du'u la'e ri mutce ja traji fi le ka zmadu	{mutce}; {traji}
do'anai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri mutce ja traji fi le ka mleca	{do'a} {nai}
do'e	cmavo			   	BAI      	fi'o co'e	{co'e}
doi	cmavo			   	DOI      	tcita lo cmene ja ve skicu le du'u sinxa le du'u makau te cusku	{be'e}, {coi}, {co'o}, {fe'o}, {fi'i}, {je'e}, {ju'i}, {ke'o}, {ki'e}, {mi'e}, {mu'o}, {nu'e}, {pe'u}, {re'i}, {ta'a}, {vi'o}
do'i	cmavo			   	KOhA2      	sumka'i lo se cusku	{selsku} {sumka'i}
do'o	cmavo			   	KOhA3      	do joi lo drata be mi .e do
do'u	cmavo			   	DOhU      	fa'orma'o zo doi .e zo coi	{fa'orma'o}; {doi}; {be'e}, {coi}, {co'o}, {fe'o}, {fi'i}, {je'e}, {ju'i}, {ke'o}, {ki'e}, {mi'e}, {mu'o}, {nu'e}, {pe'u}, {re'i}, {ta'a}, {vi'o}
du	cmavo   	-dub-   	-du'o-	   	GOhA      	lu'e x_1 mintu lu'e x_2 le ka ce'u sinxa makau	{mintu}, {dunli}, {sevzi}
du'a	cmavo			   	FAhA1      	fi'o se stuna	{stuna}
du'e	cmavo			   	PA4      	namcu .i se zilkancu lo dukse	{namcu}; {dukse} {zilkancu}
du'i	cmavo			   	BAI      	fi'o dunli	{dunli}
du'o	cmavo			   	BAI      	fi'o djuno	{djuno}
du'u	cmavo   	-dum-		   	NU      	galfi lu'e lo bridi lo selbrisle .i x_1 bridi gi'e se sinxa lu'e le bridi .i x_2 selsku gi'e sinxa le bridi	{bridi}
dy	cmavo			   	BY2      	vomoi lerfu le lojbo	{lerfu}
e	cmavo			   	A      	logji jonma'o .i te jorne le li'erla'i sumti le se li'erla'i sumti ja'e lo kanxe	{logji} {jonma'o}; {sumti} {kanxe}
e'a	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri se curmi	{curmi}
e'anai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se tolcru	{e'a} {nai}; {tolcru}
ebu	bu-letteral			   	BY*      	mumoi lerfu le lojbo	{lerfu}
e'e	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri te darsygau	{darsygau}
e'enai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri te toldarsygau	{e'e} {nai}; {toldarsygau}
ei	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri se bilga	{bilga}
e'i	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri se bapli	{bapli}; {bai}
einai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri se zifre	{ei} {nai}; {zifre}
e'o	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri se cpedu	{cpedu}
e'u	cmavo			   	UI1      	tcita le se cusku le du'u la'e ri se stidi	{stidi}
e'y	experimental cmavo			   	BY      	pa moi lo lerfu be lo lojbo se lerfu	dunli me'o .abu lo ka sinxa ma kau
fa	cmavo			   	FA      	tcita le se li'erla'i sumti le du'u ri sumti fi li pa
fa'a	cmavo			   	FAhA4      	fi'o farna	{farna}
fa'e	cmavo			   	BAI      	fi'o fatne	{fatne}
fai	cmavo			   	FA      	tcita le se li'erla'i sumti le du'u ri sumti fi lo na'e namcu	{jai}
fa'i	cmavo			   	VUhU2      	mekfancu .i li fa'i abu du le pavdilcu be abu	{mekfancu}; {pavdilcu}
fa'o	cmavo			   	FAhO      	fanmo le se cusku .i na pagbu le fadni gerna	{selsku} {fanmo}
fau	cmavo			   	BAI      	fi'o fasnu
fa'u	cmavo			   	JOI      	nalylogji jonma'o .i te jorne le li'erla'i le se li'erla'i ja'e lo panra remei	{nalylogji} {jonma'o}; {panra}
fau'u	experimental cmavo			   	COI      	tcita lo cmene ja ve skicu le du'u sinxa le du'u makau te cusku .e le du'u le cusku cu djica lo nu le te cusku cu fraxu le cusku	{fraxu}, {u'u}
fe	cmavo			   	FA      	tcita le se li'erla'i sumti le du'u ri sumti fi li re
fe'a	cmavo			   	VUhU3      	mekfancu .i li abu fe'a by du le seltenfa be abu bei by	{mekfancu}; {seltenfa}
fe'e	cmavo			   	FEhE      	galfi lo'e temci tcita lo'e canlu tcita poi smuni panra
fei	cmavo			   	PA2      	saclu li papa li paxa
fe'i	cmavo			   	VUhU1      	mekfancu .i li abu fe'i by du le dilcu be abu bei by	{mekfancu}; {dilcu}
fe'o	cmavo			   	COI      	tcita lo cmene ja ve skicu le du'u sinxa le du'u makau te cusku .e le du'u fanmo le nu cusku	{doi}; {fanmo}
fe'u	cmavo			   	FEhU      	fa'orma'o zo fi'o	{fa'orma'o}; {fi'o}
fi	cmavo			   	FA      	tcita le se li'erla'i sumti le du'u ri sumti fi li ci
fi'a	cmavo			   	FA      	preti le du'u le se li'erla'i sumti cu sumti fi li xokau	{preti}
fi'e	cmavo			   	BAI      	fi'o finti	{finti}
fi'i	cmavo			   	COI      	tcita lo cmene ja ve skicu le du'u sinxa le du'u makau te cusku .e le du'u le te cusku cu zanvi'e le cusku	{doi}; {zanvi'e}
fi'i'e	experimental cmavo			   	COI      	fi'i vitke be fi 
fi'inai	cmavo-compound			   	COI*      	tcita lo cmene ja ve skicu le du'u sinxa le du'u makau te cusku .e le du'u le te cusku cu malvi'e le cusku	{fi'i} {nai}; {malvi'e}
fi'o	cmavo			   	FIhO      	galfi le selbri poi vo'a li'erla'i ke'a ku'o lo tcita be lo sumti bei le du'u ri pamoi sumti vo'e
fi'u	cmavo			   	PA3      	namcu .i frinu le li'erla'i namcu le se li'erla'i namcu	{namcu}; {frinu}
fo	cmavo			   	FA      	tcita le se li'erla'i sumti le du'u ri sumti fi li vo
fo'a	cmavo   	-fo'a-		   	KOhA4      	xamoi sumka'i .i ka'e se snigau sepi'o zo goi	{sumka'i}; {goi}
fo'e	cmavo   	-fo'e-		   	KOhA4      	zemoi sumka'i .i ka'e se snigau sepi'o zo goi	{sumka'i}; {goi}
foi	cmavo			   	FOI      	fa'orma'o zo tei	{fa'orma'o}; {tei}
fo'i	cmavo   	-fo'i-		   	KOhA4      	bimoi sumka'i .i ka'e se snigau sepi'o zo goi	{sumka'i}; {goi}
fo'o	cmavo			   	KOhA4      	somoi sumka'i .i ka'e se snigau sepi'o zo goi	{sumka'i}; {goi}
fo'u	cmavo			   	KOhA4      	panomoi sumka'i .i ka'e se snigau sepi'o zo goi	{sumka'i}; {goi}
fu	cmavo			   	FA      	tcita le se li'erla'i sumti le du'u ri sumti fi li mu
fu'a	cmavo			   	FUhA      	tcita lo mekso le du'u sinxa le mekfancu cu se lidne le re meksu'i be ri	{selyli'e} {mekfancu} {mekso}
fu'e	cmavo			   	FUhE      	krasi le kuspe be le se lidne cmavo be zo ui be'o noi se fanmo zo fu'o	{kuspe} {krasi}; {fu'o}
fu'i	cmavo			   	UI5      	tcita le se cusku le du'u la'e ri frili	{frili}
fu'inai	cmavo-compound			   	UI*      	tcita le se cusku le du'u la'e ri nandu	{fu'i} {nai}; {nandu}
fu'o	cmavo			   	FUhO      	fa'orma'o zo fu'e	{fa'orma'o}; {fu'e}
fu'u	cmavo			   	VUhU0      	mekfancu .i li fu'u abu du le co'e be abu	{mekfancu}; {co'e}
fy	cmavo			   	BY2      	xamoi lerfu le lojbo	{lerfu}
ga	cmavo			   	GA      	logji jonma'o .i te jorne le se li'erla'i be vo'a le se li'erla'i be zo gi ja'e lo vlina	{logji} {jonma'o}; {vlina}
ga'a	cmavo			   	BAI      	fi'o zgana	{zgana}
ga'e	cmavo			   	BY1      	sinxa le du'u le se lidne lerfu cu barda tarmi	{lerfu} {tarmi}; {to'a}
gai	cmavo			   	PA2      	saclu li pare li paxa
ga'i	cmavo			   	UI5      	sinxa le du'u le cusku cu zmadu fi le ni catni ja jikyvai ja se sinma
ga'icu'i	cmavo-compound			   	UI*5      	sinxa le du'u le cusku cu dunli fi le ni catni ja jikyvai ja se sinma	{ga'i} {cu'i}
